"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"Estimated","987696657252","","PayerLineItem","6800001185645821675","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-USW2-AWS-In-Bytes","","6124045356","$0.00 per GB - US East (Northern Virginia) data transfer from US West (Oregon)","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00000109","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821676","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-APN1-AWS-Out-Bytes","","6124037905","$0.02 per GB - US East (Ohio) data transfer to Asia Pacific (Tokyo)","2022/03/01 00:00:00","2022/03/31 23:59:59","1.8E-7","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821677","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-APN1-AWS-In-Bytes","","6124038541","$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Tokyo)","2022/03/01 00:00:00","2022/03/31 23:59:59","1.9E-7","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821678","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSCostExplorer","AWS Cost Explorer","Amazon Internet Services Pvt Ltd","USE1-APIRequest","","772463451","$0.01 per API Request","2022/03/01 00:00:00","2022/03/31 23:59:59","10.00000000","","USD","0.10","0.0","0.020000","GST","0.120000"
"Estimated","987696657252","","PayerLineItem","6800001185645821679","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AmazonAthena","Amazon Athena","Amazon Internet Services Pvt Ltd","USE2-DataScannedInTB","","3873835233","Data scanned per query in Terabytes","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00249000","","USD","0.02","0.0","0.000000","None","0.020000"
"Estimated","987696657252","","PayerLineItem","6800001185645821680","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Internet Services Pvt Ltd","BoxUsage:t2.micro","RunInstances","6390363646","$0.00 per Linux t2.micro instance-hour (or partial hour) under monthly free tier","2022/03/01 00:00:00","2022/03/31 23:59:59","48.03777800","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821681","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","USE2-CW:Requests","","6430257611","$0.00 per request - first 1,000,000 requests","2022/03/01 00:00:00","2022/03/31 23:59:59","10.00000000","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821682","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSQueueService","Amazon Simple Queue Service","Amazon Internet Services Pvt Ltd","APN3-Requests-Tier1","","5259181777","First 1,000,000 Amazon SQS Requests per month are free","2022/03/01 00:00:00","2022/03/31 23:59:59","4.00000000","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821683","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSQueueService","Amazon Simple Queue Service","Amazon Internet Services Pvt Ltd","USW1-Requests-Tier1","","5259333081","First 1,000,000 Amazon SQS Requests per month are free","2022/03/01 00:00:00","2022/03/31 23:59:59","4.00000000","","USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","987696657252","","PayerLineItem","6800001185645821684","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/09 02:06:31","vishnuprakashmr9","","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-USW2-AWS-Out-Bytes","","6124036299","$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon)","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00000138","","USD","0.00","0.0","0.000000","None","0.000000"
