"Don't see your tags in the report? New tags are excluded by default - go to https://console.aws.amazon.com/billing/home#/preferences/tags to update your cost allocation keys."
"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordID","BillingPeriodStartDate","BillingPeriodEndDate","InvoiceDate","PayerAccountName","LinkedAccountName","TaxationAddress","PayerPONumber","ProductCode","ProductName","SellerOfRecord","UsageType","Operation","AvailabilityZone","RateId","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","BlendedRate","CurrencyCode","CostBeforeTax","Credits","TaxAmount","TaxType","TotalCost"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142074","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-USE1-AWS-Out-Bytes","","","6124033842","$0.01 per GB - US East (Ohio) data transfer to US East (Northern Virginia)","2022/03/01 00:00:00","2022/03/31 23:59:59","0.00075645","","USD","0.000008","0.000000","0.000000","None","0.000008"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142040","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","DashboardsUsageHour-Basic","DashboardHour","","6369923448","First 3 Dashboards per month are free.","2022/03/01 00:00:00","2022/03/31 23:59:59","0.19623701","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142060","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE1-USE2-AWS-In-Bytes","","","6124044270","$0.00 per GB - US East (Northern Virginia) data transfer from US East (Ohio)","2022/03/01 00:00:00","2022/03/31 23:59:59","6E-8","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142073","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-CAN1-AWS-In-Bytes","","","6124037796","$0.00 per GB - US East (Ohio) data transfer from Canada (Central)","2022/03/01 00:00:00","2022/03/31 23:59:59","4.7E-7","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142102","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSDataTransfer","AWS Data Transfer","Amazon Internet Services Pvt Ltd","USE2-APN1-AWS-In-Bytes","","","6124035421","$0.00 per GB - US East (Ohio) data transfer from Asia Pacific (Tokyo)","2022/03/01 00:00:00","2022/03/31 23:59:59","7.0E-7","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142048","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonCloudWatch","AmazonCloudWatch","Amazon Internet Services Pvt Ltd","CW:Requests","","","6369923435","$0.00 per request - first 1,000,000 requests","2022/03/01 00:00:00","2022/03/31 23:59:59","13.00000000","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142056","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AmazonEC2","Amazon Elastic Compute Cloud","Amazon Internet Services Pvt Ltd","USE2-BoxUsage:t2.small","RunInstances","us-east-2b","6394614589","$0.023 per On Demand Linux t2.small Instance Hour","2022/03/01 00:00:00","2022/03/31 23:59:59","8.77277800","","USD","0.201774","0.000000","0.037378","GST","0.239152"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142071","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","awskms","AWS Key Management Service","Amazon Internet Services Pvt Ltd","us-east-2-KMS-Requests","","","1698859531","$0.00 per request - Monthly Global Free Tier for KMS requests","2022/03/01 00:00:00","2022/03/31 23:59:59","14.00000000","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142098","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSQueueService","Amazon Simple Queue Service","Amazon Internet Services Pvt Ltd","USW2-Requests-Tier1","","","5259333083","First 1,000,000 Amazon SQS Requests per month are free","2022/03/01 00:00:00","2022/03/31 23:59:59","4.00000000","","USD","0.000000","0.000000","0.000000","None","0.000000"
"Estimated","987696657252","987696657252","LinkedLineItem","6800001183726142054","2022/03/01 00:00:00","2022/03/31 23:59:59","2022/03/08 04:42:11","vishnuprakashmr9","vishnuprakashmr9","","","AWSQueueService","Amazon Simple Queue Service","Amazon Internet Services Pvt Ltd","APN2-Requests-Tier1","","","5259181775","First 1,000,000 Amazon SQS Requests per month are free","2022/03/01 00:00:00","2022/03/31 23:59:59","4.00000000","","USD","0.000000","0.000000","0.000000","None","0.000000"
